"admUnitFourId","name","area","admUnitThreeId"
10797663,"Sekhmatia Union ",6931,"107976"
10797673,"Shankharikati Union ",6099,"107976"
10797684,"Sreeramkati Union ",6343,"107976"
10798001,"Ward No-01 ",NA,"107980"
10798002,"Ward No-02 ",NA,"107980"
10798003,"Ward No-03 ",NA,"107980"
10798004,"Ward No-04 ",NA,"107980"
10798005,"Ward No-05 ",NA,"107980"
10798006,"Ward No-06 ",NA,"107980"
10798007,"Ward No-07 ",NA,"107980"
10798008,"Ward No-08 ",NA,"107980"
10798009,"Ward No-09 ",NA,"107980"
10798017,"Durgapur Union ",4687,"107980"
10798025,"Kadamtala Union ",5214,"107980"
10798034,"Kalakhali Union ",4059,"107980"
10798069,"Shankarpasha Union ",5405,"107980"
10798077,"Sariktala Dumritala Union Tot",4935,"107980"
10798086,"Sikdar Mallik Union ",6226,"107980"
10798094,"Tona Union ",3607,"107980"
10798701,"Ward No-01 ",NA,"107987"
10798702,"Ward No-02 ",NA,"107987"
10798703,"Ward No-03 ",NA,"107987"
10798704,"Ward No-04 ",NA,"107987"
10798705,"Ward No-05 ",NA,"107987"
10798706,"Ward No-06 ",NA,"107987"
10798707,"Ward No-07 ",NA,"107987"
10798708,"Ward No-08 ",NA,"107987"
10798709,"Ward No-09 ",NA,"107987"
10798717,"Atghar Kuriana Union ",4968,"107987"
10798719,"Baldia Union ",5123,"107987"
10798728,"Daihari Union ",3836,"107987"
10798738,"Guarekha Union ",6641,"107987"
10798747,"Jalabari Union ",6506,"107987"
10798757,"Samudaykati Union ",10411,"107987"
10798766,"Sarengkati Union ",3347,"107987"
10798776,"Sohagdal Union ",2586,"107987"
10798785,"Sutiakati Union ",2927,"107987"
10798795,"Nesarabad (Swarupkati) Union",1927,"107987"
10799015,"Bali Para Union ",9359,"107990"
10799043,"Parerhat Union ",5246,"107990"
10799051,"Pattashi Union ",8771,"107990"
20120201,"Ward No-01 ",NA,"201202"
20120202,"Ward No-02 ",NA,"201202"
20120203,"Ward No-03 ",NA,"201202"
20120204,"Ward No-04 ",NA,"201202"
20120205,"Ward No-05 ",NA,"201202"
20120206,"Ward No-06 ",NA,"201202"
20120207,"Ward No-07 ",NA,"201202"
20120208,"Ward No-08 ",NA,"201202"
20120209,"Ward No-09 ",NA,"201202"
20120219,"Dakshin Akhaura Union ",1690,"201202"
20120257,"Dharkhar Union ",8183,"201202"
20120276,"Maniand Union ",5487,"201202"
20120285,"Mogra Union ",4578,"201202"
20120290,"Uttar Akhaura Union ",2233,"201202"
20120414,"Ayubpur Union ",3048,"201204"
20120423,"Dariadaulat Union ",4959,"201204"
20120430,"Pahariakandi Union ",2225,"201204"
